"NODE_ID";"LON";"LAT"
588178334;9,7358571;52,3750694
588178337;9,7356691;52,3751104
588178339;9,735704;52,3751708
588178341;9,735892;52,3751298
588178344;9,7366091;52,3749053
588178346;9,7360451;52,3750283
588178348;9,7362331;52,3749873
588178349;9,7364211;52,3749463
588178350;9,7364559;52,3750067
588178351;9,736268;52,3750477
588178352;9,73608;52,3750887
588178353;9,7367971;52,3748642
588178355;9,7369851;52,3748232
588178357;9,7371731;52,3747822
588178359;9,7370199;52,3748836
588178362;9,7372079;52,3748426
588178364;9,7368319;52,3749246
588178365;9,7366439;52,3749657
588178368;9,737361;52,3747411
588178370;9,7373959;52,3748015
588178372;9,7377791;52,3748603
588178531;9,7334185;52,3756035
588178532;9,7336144;52,3755664
588178533;9,7337927;52,3755162
588178534;9,7338328;52,3755751
588178535;9,7332429;52,3756472
588178536;9,7334573;52,375656
588178537;9,733645;52,3756156
588178538;9,7332695;52,3756964
588178539;9,735107;52,3752334
588178540;9,7339805;52,3754758
588178541;9,7341682;52,3754354
588178542;9,734356;52,375395
588178543;9,7345438;52,3753546
588178544;9,7342083;52,3754943
588178545;9,7343961;52,3754539
588178546;9,7340205;52,3755347
588178547;9,7347315;52,3753142
588178548;9,7349193;52,3752738
588178549;9,7349593;52,3753327
588178550;9,7351471;52,3752923
588178551;9,7345838;52,3754135
588178552;9,7347716;52,3753731
588178553;9,7352948;52,3751929
588178554;9,7353348;52,3752519
588180294;9,735824;52,3753347
588180295;9,7360036;52,3753809
588180296;9,7361832;52,3754272
588180297;9,7363628;52,3754734
588180298;9,7365424;52,3755196
588180299;9,7374509;52,3751658
588180300;9,7373776;52,3751456
588180301;9,7373429;52,3751942
588180302;9,7374206;52,3752161
588180303;9,736722;52,3755658
588180304;9,7371254;52,3754987
588180305;9,7372332;52,3755275
588180306;9,737269;52,3752976
588180307;9,7372337;52,3753471
588180308;9,7371607;52,3754492
588180309;9,7372636;52,3754769
588180310;9,7369015;52,3756121
588180311;9,7373268;52,375372
588180312;9,7373572;52,3753214
588186488;9,7369757;52,3757333
588186489;9,7369768;52,3757308
588186490;9,7370079;52,3756855
588186491;9,7369164;52,3758204
588186492;9,7369461;52,3757769
588186493;9,7371242;52,375772
588186494;9,7370499;52,3757527
588186495;9,7370909;52,37576
588186496;9,737122;52,3757147
588186497;9,7370649;52,3758591
588186498;9,7369907;52,3758398
588186499;9,7370203;52,3757962
588186500;9,7370945;52,3758156
588186501;9,7393552;52,3764107
588186503;9,7393104;52,3766138
588186504;9,7393253;52,3765461
588186506;9,7393403;52,3764784
588186507;9,7389952;52,3765625
588186508;9,73988;52,3758932
588186510;9,7406231;52,3755911
588186512;9,7403435;52,3756575
588186515;9,7404833;52,3756243
588186517;9,7410424;52,3754916
588186519;9,7407629;52,375558
588186520;9,7409026;52,3755248
588186522;9,7395209;52,3761856
588186523;9,7396107;52,3761125
588186524;9,7397005;52,3760394
588186526;9,7397902;52,3759663
588186530;9,7402452;52,3761412
588186531;9,7402896;52,3761218
588186533;9,740214;52,3761146
588186534;9,7402584;52,3760952
588187220;9,7410745;52,3759143
588187221;9,7403209;52,3763444
588187222;9,7402491;52,3763809
588187223;9,740113;52,3763586
588187224;9,7409596;52,3760402
588187225;9,7410673;52,3759882
588187794;9,7402717;52,3761773
588187795;9,7402967;52,3761941
588187797;9,740286;52,3761693
588187799;9,740311;52,3761861
588187800;9,7407402;52,3759531
588187802;9,7407267;52,3759616
588187804;9,7407508;52,3759789
588187806;9,7407644;52,3759704
591133065;9,7248578;52,3776602
591133069;9,7249263;52,3776825
591133071;9,7244999;52,3777175
591133073;9,7254598;52,3775252
591133075;9,7252135;52,3778917
591133076;9,7255074;52,3777436
591133077;9,7252321;52,3777095
591133079;9,7259906;52,3778482
591133081;9,7257896;52,3777967
591133083;9,7267478;52,3775409
591133084;9,7264147;52,3780043
591133086;9,7263418;52,377977
591133088;9,7265911;52,3777755
591133090;9,7266922;52,3776691
591133092;9,7265911;52,3780775
591147201;9,7271106;52,37695
591147204;9,7251828;52,3782944
591147206;9,7252538;52,3780938
591147208;9,7261914;52,3773807
591158245;9,7319377;52,375567
591158248;9,7321403;52,3758331
591158250;9,7324208;52,3762914
591158259;9,7322622;52,3759867
591158261;9,7324455;52,3763895
591161340;9,7312417;52,3771452
591161341;9,7308782;52,3775344
591161342;9,7313044;52,3775256
1113043755;9,7290872;52,370989
1113043756;9,7289999;52,3711082
1113043757;9,7280593;52,3673845
1113043758;9,7277141;52,3692267
1113043759;9,7310722;52,3679823
1113043760;9,7260492;52,369418
1113043761;9,7283105;52,3695585
1113043762;9,7255756;52,3700122
1113043763;9,7291951;52,3713795
1113043764;9,7275088;52,3669361
1113043765;9,7287082;52,3678793
1113043766;9,7311687;52,3680337
1113045838;9,7272465;52,3727487
1113045839;9,728662;52,3729958
1113045840;9,7278566;52,3727567
1113074475;9,7532548;52,3759166
1113074476;9,7542677;52,3755755
1113074478;9,7538443;52,3760609
1113074480;9,7537896;52,3760565
1113074482;9,7535791;52,3758726
1113074484;9,7535892;52,3760706
1113074486;9,7542854;52,3755796
1113074488;9,7539928;52,375943
1113074497;9,7536397;52,3758858
1113074499;9,7534082;52,3758482
1113074501;9,7536498;52,3761225
1113074502;9,7540735;52,3754775
1113074503;9,7542998;52,3755277
1113074504;9,7538544;52,3760257
1113074507;9,7534436;52,3758603
1113074509;9,7536743;52,3759879
1113074520;9,7535705;52,3758876
1113074522;9,7536296;52,3760759
1113074524;9,7538083;52,3758691
1113074526;9,7540695;52,3758573
1113074527;9,7537968;52,3760293
1113074528;9,7538833;52,3757811
1113074529;9,7541023;52,3758656
1113074530;9,7534321;52,3758682
1113074531;9,7537045;52,3759756
1113074542;9,7536339;52,3758964
1113074545;9,7535431;52,3761655
1113074548;9,7537348;52,3759157
1114315629;9,748907;52,37608
1116288163;9,7234245;52,3781527
1116288171;9,7236562;52,3784766
1116380731;9,7402604;52,3675374
1116382772;9,7370694;52,367618
1116382773;9,7379333;52,3674708
1116383646;9,736467;52,3678809
1116384069;9,7319439;52,3768635
1116384070;9,7319386;52,3765805
1119813951;9,7321482;52,3738204
1119813954;9,7323588;52,3734794
1119813956;9,7320614;52,3740648
1119813957;9,7321966;52,3738362
1122154767;9,7428826;52,3776017
1122154776;9,7422355;52,3781956
1122154799;9,7427801;52,3775048
1122154848;9,743338;52,3772439
1128420873;9,7250708;52,3813074
1135652173;9,7407305;52,3792439
1135652177;9,7399918;52,3794569
1135652181;9,7403327;52,3792472
1135652183;9,7380487;52,3801739
1135652186;9,7410772;52,3789583
1135652191;9,7382372;52,3802853
1135652194;9,7383995;52,3803742
1135652196;9,7394264;52,3801026
1135652209;9,7403544;52,3792693
1135652210;9,7385853;52,381273
1135652211;9,7367427;52,3801603
1135652213;9,7403256;52,3797832
1135652214;9,7384316;52,380347
1135652215;9,7392578;52,380104
1135652216;9,7383218;52,380586
1135652218;9,7383951;52,3803718
1135652220;9,7408403;52,3790444
1135652228;9,7406509;52,37916
1135652229;9,7373783;52,3798405
