"WAY_ID";"NODE_ID";"SEQ_NR"
4686650;29791538;1
4686650;29791540;2
4696335;25896453;1
4696335;281812480;2
4696335;29860238;3
4696448;29861232;1
4696448;29861233;2
4696448;29861224;3
4696449;29861225;1
4696449;25761201;2
4696450;832511957;1
4696450;29861226;2
4696450;29861227;3
4696450;29861228;4
4696450;29861229;5
4696450;663200559;6
4696450;29861230;7
4696450;29861231;8
4696451;25753584;1
4696451;29727605;2
4697937;25761191;1
4697937;247455262;2
4697937;25761190;3
4697937;534096638;4
4697937;25761189;5
4697937;269148814;6
4697937;25761188;7
4697937;735935846;8
4697937;34042700;9
4697937;735935902;10
4697937;25761187;11
4697937;735515344;12
4697937;631190688;13
4697937;25761178;14
4697937;269150239;15
4697937;735935838;16
4697937;735935830;17
4697937;735577360;18
4697937;735515284;19
4697937;631570922;20
4697937;25761174;21
4697937;631262882;22
4697937;631570943;23
4697937;25761204;24
4697937;631190684;25
4697937;256332911;26
4697939;25530096;1
4697939;267093381;2
4697939;666387354;3
4697939;25761300;4
4697939;1406882852;5
4697939;25761298;6
4697939;1406882827;7
4697939;269570972;8
4697939;50787046;9
4697939;25761302;10
4697939;269570978;11
4697939;683214421;12
4697939;25761297;13
4699114;25761192;1
4699114;269149037;2
4699114;25761191;3
4712898;353115741;1
4712898;1383467199;2
4712898;30003896;3
4712898;1383467201;4
4712898;369065756;5
4712898;30003886;6
4712898;1383467210;7
4712898;1383467209;8
4712898;1383467208;9
4712898;348098649;10
4712898;1383467205;11
4712898;1383467207;12
4712898;1383467206;13
4712898;348086806;14
4712898;1383467203;15
4712898;1383467202;16
4712898;353117841;17
4712898;1383467200;18
4712898;369112561;19
4712898;369112563;20
4712898;369112567;21
4712898;369112568;22
4712898;369112569;23
4712898;369112570;24
4712898;369112571;25
4712898;353115741;26
4712899;353123461;1
4712899;1383467232;2
4712899;30003888;3
4712899;1393946540;4
4712899;1383467245;5
4712899;60409516;6
4712899;1366953708;7
4712899;1393946541;8
4712899;1393946542;9
4712899;1366953736;10
4712899;59932469;11
4712899;1383467286;12
4712899;1383467289;13
4712899;1383467291;14
4712899;1383467295;15
4712899;1383467297;16
4712899;60408354;17
4712899;826905949;18
4712899;60409398;19
4712899;1383467274;20
4712899;1383467273;21
4712899;1383467268;22
4712899;1383467253;23
4712899;1383467244;24
4712899;1383467241;25
4712899;1393946539;26
4712899;1383467238;27
